"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Skin_Friction_Coefficient_X", "Skin_Friction_Coefficient_Y"
13779, 3.735228276000000e-01, 2.215832750540000e-02, 4.974082336636261e+05, -5.384755290520692e-01, -5.342629478202075e-04, -4.446878159106297e-04
13780, 3.739796158360000e-01, 2.254132381880000e-02, 4.987673005093874e+05, -5.333432254303997e-01, -5.207719569756465e-04, -4.399558014282998e-04
13781, 3.744333947230000e-01, 2.292758799070000e-02, 5.001369777591951e+05, -5.281708532754679e-01, -5.070464328477632e-04, -4.349796079250014e-04
13782, 3.748840421350000e-01, 2.331720344530000e-02, 5.015010081063942e+05, -5.230198057660456e-01, -4.935189998871264e-04, -4.298770380760938e-04
13783, 3.753316486470000e-01, 2.371000718100000e-02, 5.028750039616692e+05, -5.178311250722446e-01, -4.807815093401771e-04, -4.241202757383401e-04
13784, 3.757770673240000e-01, 2.410498351180000e-02, 5.043107363567382e+05, -5.124093059807534e-01, -4.699534755154405e-04, -4.177932226130752e-04
13785, 3.762213318460000e-01, 2.450094422090000e-02, 5.058217541867559e+05, -5.067031832057085e-01, -4.604413444924724e-04, -4.103309883202263e-04
13786, 3.766654825780000e-01, 2.489671152140000e-02, 5.074109699849193e+05, -5.007017580205037e-01, -4.480212453805527e-04, -3.982111967538720e-04
13787, 3.771104594000000e-01, 2.529122046560000e-02, 5.090538813705724e+05, -4.944975598377817e-01, -4.269912398426063e-04, -3.784253719996015e-04
13788, 3.775554119230000e-01, 2.568542054400000e-02, 5.106680993898477e+05, -4.884017176705407e-01, -4.001330361567001e-04, -3.564260607013046e-04
13789, 3.779980579460000e-01, 2.608186563770000e-02, 5.122119357820738e+05, -4.825716607224230e-01, -3.814967615520535e-04, -3.442892955086482e-04
13790, 3.784375176750000e-01, 2.648149432110000e-02, 5.137158297129317e+05, -4.768924402396176e-01, -3.647026333861619e-04, -3.339577402888965e-04
13791, 3.788740296220000e-01, 2.688399179390000e-02, 5.152056053429363e+05, -4.712665353143417e-01, -3.490636697429196e-04, -3.227171006771867e-04
13792, 3.793093002600000e-01, 2.728747664650000e-02, 5.167298760285495e+05, -4.655103652005785e-01, -3.302494940672811e-04, -3.055316638584647e-04
