"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Skin_Friction_Coefficient_X", "Skin_Friction_Coefficient_Y"
13801, 3.831624906920000e-01, 3.096942881650000e-02, 5.728497954104175e+05, -2.535822570360177e-01, 7.744353572600799e-04, 7.596768578979510e-04
13802, 3.835847115430000e-01, 3.138273329980000e-02, 5.718061392732823e+05, -2.575234613918611e-01, 7.605249670833699e-04, 7.447171236671908e-04
13803, 3.840065826500000e-01, 3.179597595470000e-02, 5.713011778604497e+05, -2.594303692794069e-01, 7.435717384258778e-04, 7.304575144663877e-04
13804, 3.844270533200000e-01, 3.221021886570000e-02, 5.708805606078446e+05, -2.610187646225898e-01, 7.374764065581463e-04, 7.304801866033614e-04
13805, 3.848450699770000e-01, 3.262650880110000e-02, 5.703602591590727e+05, -2.629836017593508e-01, 7.343286100506063e-04, 7.364658760714360e-04
13806, 3.852599264860000e-01, 3.304551611200000e-02, 5.694628122563696e+05, -2.663726697830202e-01, 7.362515298187491e-04, 7.488773515175618e-04
13807, 3.856716016400000e-01, 3.346721448070000e-02, 5.682201190866207e+05, -2.710655063978032e-01, 7.416223918713668e-04, 7.649117582461259e-04
13808, 3.860801535270000e-01, 3.389150096220000e-02, 5.666839308031612e+05, -2.768666814579963e-01, 7.497094102638976e-04, 7.838041535026017e-04
13809, 3.864856414630000e-01, 3.431827461900000e-02, 5.647639237345237e+05, -2.841172881980054e-01, 7.600454264426075e-04, 8.049274746213359e-04
13810, 3.868882517320000e-01, 3.474731881830000e-02, 5.624569324924105e+05, -2.928292802122209e-01, 7.703620586116837e-04, 8.245140552827291e-04
13811, 3.872887743550000e-01, 3.517786310770000e-02, 5.598791492938324e+05, -3.025638757453280e-01, 7.801785344395794e-04, 8.403856365822302e-04
13812, 3.876881852050000e-01, 3.560898390040000e-02, 5.573382890886855e+05, -3.121590373620670e-01, 7.960866193627553e-04, 8.590961776717304e-04
13813, 3.880874625040000e-01, 3.603976672380000e-02, 5.550214805444768e+05, -3.209081028839304e-01, 8.054756353608020e-04, 8.670228868348141e-04
13814, 3.884874997710000e-01, 3.646937494400000e-02, 5.531975040461397e+05, -3.277960651776556e-01, 8.060513401206563e-04, 8.640771406917154e-04
13815, 3.888880713540000e-01, 3.689800958190000e-02, 5.518658255700013e+05, -3.328249409002151e-01, 7.947780709269649e-04, 8.509732365990167e-04
13816, 3.892881436040000e-01, 3.732662868420000e-02, 5.507987756893513e+05, -3.368544880737351e-01, 7.861888592465563e-04, 8.448604911682828e-04
13817, 3.896866663810000e-01, 3.775620208720000e-02, 5.497547147859965e+05, -3.407972209659718e-01, 7.848566079074619e-04, 8.506452663416650e-04
13818, 3.900825969810000e-01, 3.818767514500000e-02, 5.483630354878366e+05, -3.460526804192173e-01, 7.907589154807968e-04, 8.675476192150903e-04
13819, 3.904753883990000e-01, 3.862151501070000e-02, 5.462960136909303e+05, -3.538584653130350e-01, 8.023531359596469e-04, 8.918997592435848e-04
13820, 3.908651590140000e-01, 3.905757501520000e-02, 5.435489834563525e+05, -3.642321958368359e-01, 8.186143349015600e-04, 9.213445301515293e-04
13821, 3.912520753050000e-01, 3.949567052200000e-02, 5.400632250587145e+05, -3.773956178600120e-01, 8.379484373881273e-04, 9.541072136593648e-04
13822, 3.916363060950000e-01, 3.993562068000000e-02, 5.356607866218571e+05, -3.940207388421991e-01, 8.631565987517020e-04, 9.932556627825064e-04
13823, 3.920181134460000e-01, 4.037716957160000e-02, 5.301119474811219e+05, -4.149750629851776e-01, 9.090373546112297e-04, 1.055302958591470e-03
13824, 3.923979948090000e-01, 4.081986635960000e-02, 5.225120709156306e+05, -4.436748095377203e-01, 9.718420933336807e-04, 1.135478225728293e-03
13825, 3.927764872520000e-01, 4.126323629950000e-02, 5.113956579575475e+05, -4.856542064030645e-01, 1.059143953400072e-03, 1.242374332415661e-03
13826, 3.931542959720000e-01, 4.170700653490000e-02, 4.913178692884572e+05, -5.614748386426568e-01, 1.350848803519218e-03, 1.380650677512113e-03
13827, 3.935849420950000e-01, 4.208952694270000e-02, 4.547327995537459e+05, -6.996326389628578e-01, 2.100137419467273e-03, 1.269230765685505e-03
13828, 3.941278276990000e-01, 4.229536632880000e-02, 4.767107726339010e+05, -6.166362571527687e-01, -7.061658650806914e-05, -1.463341213957430e-05
13829, 3.947039946140000e-01, 4.232142085780000e-02, 4.964932807397881e+05, -5.419307058296622e-01, -5.154346741928455e-04, 8.875286915437380e-05
13830, 3.952414316370000e-01, 4.210361449380000e-02, 5.379934842281968e+05, -3.852116707594802e-01, -1.512772014015190e-04, 9.735941411151785e-05
13831, 3.957366419980000e-01, 4.165682669980000e-02, 5.319375842057923e+05, -4.080808311060748e-01, 1.508190074052975e-05, -2.069830529033643e-05
13832, 3.960040926400000e-01, 4.105694335170000e-02, 5.229632059518918e+05, -4.419711685522259e-01, 4.805080173724513e-06, -1.986476157861622e-05
13833, 3.960432294310000e-01, 4.038935851210000e-02, 5.135035603337323e+05, -4.776940423882040e-01, 3.997417738904356e-05, 2.070952036501933e-04
13834, 3.957582495530000e-01, 3.978329802630000e-02, 5.230831272658411e+05, -4.415183044449036e-01, 2.825658276929362e-04, 5.755587313123800e-04
13835, 3.954516614500000e-01, 3.918439286070000e-02, 5.217602357366737e+05, -4.465139976349752e-01, 3.283123444367939e-04, 6.058701479972346e-04
13836, 3.951172148410000e-01, 3.860032759460000e-02, 5.218730672481142e+05, -4.460879070592167e-01, 3.529461980820114e-04, 6.032952053338529e-04
13837, 3.947718195810000e-01, 3.802233093120000e-02, 5.210819643967960e+05, -4.490753833865193e-01, 3.461089694020086e-04, 5.820208903088019e-04
13838, 3.944287845240000e-01, 3.744265512310000e-02, 5.199138248858825e+05, -4.534866797559179e-01, 3.788760652392610e-04, 6.273479454407845e-04
13839, 3.940753122800000e-01, 3.686904503020000e-02, 5.194678796789481e+05, -4.551707221617450e-01, 4.033747974688329e-04, 6.345386566317328e-04
13731, 3.500443242220000e-01, 5.641353899100000e-03, 6.622222778749450e+05, 8.391896070089304e-02, 5.830399746051339e-04, 3.298831774804632e-04
13732, 3.505637162780000e-01, 5.940782778940000e-03, 6.607001345966600e+05, 7.817082440854917e-02, 5.873908052738727e-04, 3.403523856574657e-04
13733, 3.510818259430000e-01, 6.242514459830000e-03, 6.589423812772555e+05, 7.153294360429159e-02, 6.173745508285416e-04, 3.587776487277817e-04
13982, 3.178902493130000e-01, -1.577351750830000e-02, 3.555253113000719e+05, -1.074274219580524e+00, -7.586722491050433e-05, 3.847790038674219e-05
13983, 3.172381211390000e-01, -1.542217049870000e-02, 3.465490488690097e+05, -1.108171672327369e+00, -1.656671612280065e-04, 9.078368007006114e-05
13984, 3.165914261590000e-01, -1.506177750620000e-02, 3.363595700571458e+05, -1.146650647200574e+00, -2.181254933924932e-04, 1.209911763095403e-04
13985, 3.159437285220000e-01, -1.470418892350000e-02, 3.267807973029468e+05, -1.182823386055070e+00, -2.179948004614876e-04, 1.272046503543549e-04
13986, 3.153142180910000e-01, -1.431649915380000e-02, 3.185884876215593e+05, -1.213760363716438e+00, -2.683035847462404e-04, 1.676809709445439e-04
13987, 3.146902021260000e-01, -1.392077589760000e-02, 3.068531788528956e+05, -1.258076923922928e+00, -3.463209163952551e-04, 2.206024069199076e-04
13988, 3.140682128730000e-01, -1.352280828180000e-02, 2.891122410336248e+05, -1.325072804004643e+00, -3.094789354106061e-04, 2.079295549435112e-04
13989, 3.134651652570000e-01, -1.309771060360000e-02, 2.711148052574021e+05, -1.393037308549181e+00, 6.740427839540664e-04, -5.121899269494630e-04
13990, 3.128945318340000e-01, -1.263095450050000e-02, 2.541597916939047e+05, -1.457065268460639e+00, 1.523663586410334e-03, -1.348637147496729e-03
13991, 3.123622506590000e-01, -1.212149012380000e-02, 2.531915041035676e+05, -1.460721855274013e+00, 1.538987743264758e-03, -1.503472358458548e-03
13992, 3.118408098440000e-01, -1.160154936560000e-02, 2.487694477937017e+05, -1.477421060088798e+00, 1.536603402193506e-03, -1.508669161377859e-03
13993, 3.113117696170000e-01, -1.109010600060000e-02, 2.389563944577021e+05, -1.514478522959785e+00, 2.014215439412918e-03, -2.041749142693085e-03
13994, 3.108080730920000e-01, -1.055469542100000e-02, 2.630672962980625e+05, -1.423427468905349e+00, 1.885420984609636e-03, -2.204547310099203e-03
13995, 3.103577327050000e-01, -9.974588816240000e-03, 3.063820246586695e+05, -1.259856164130967e+00, 1.400673686090296e-03, -1.968474372774885e-03
13996, 3.099574163140000e-01, -9.359202077940000e-03, 3.132912391076096e+05, -1.233764595162316e+00, 1.163207720718483e-03, -1.784524404269157e-03
13997, 3.095562528620000e-01, -8.745005901780000e-03, 3.115409905081739e+05, -1.240374135564042e+00, 1.165961414534920e-03, -1.928035909206804e-03
13998, 3.091991276850000e-01, -8.105294626090000e-03, 3.261511280793350e+05, -1.185201233507441e+00, 1.022124316094092e-03, -1.954112265884670e-03
13999, 3.088774555500000e-01, -7.447271240210000e-03, 3.271923783473615e+05, -1.181269114540428e+00, 8.934154314578018e-04, -1.963595189792034e-03
14000, 3.085931283800000e-01, -6.773397640190000e-03, 3.186340229473829e+05, -1.213588406672260e+00, 8.951201943652362e-04, -2.355619173890400e-03
14001, 3.083582517970000e-01, -6.080922538190000e-03, 3.346456784628088e+05, -1.153122891052449e+00, 7.015419950973328e-04, -2.797469759453656e-03
14002, 3.082393749520000e-01, -5.362770016970000e-03, 3.884890121544384e+05, -9.497919530855811e-01, 2.455845768545181e-04, -2.735772961775801e-03
14003, 3.082284020350000e-01, -4.634416928910000e-03, 4.464282286150014e+05, -7.309935537245271e-01, -1.699881402301094e-04, -2.547075479657175e-03
13726, 3.083361242070000e-01, -3.913094441060000e-03, 5.087109941821258e+05, -4.957924197371141e-01, -5.807829535187408e-04, -2.316658516862131e-03
9680, 3.085804339410000e-01, -3.230212986110000e-03, 5.705375759560822e+05, -2.623139925769082e-01, -9.118378450009963e-04, -1.935417204006327e-03
9695, 3.089526352380000e-01, -2.604521801310000e-03, 6.320051787520623e+05, -3.019119344524052e-02, -9.863056149661154e-04, -1.339230645130700e-03
9721, 3.095146713300000e-01, -1.961681891700000e-03, 6.682195738998295e+05, 1.065668122063120e-01, -9.228673776482059e-04, -9.238924718514599e-04
9773, 3.101596252050000e-01, -1.396191145010000e-03, 6.970279141557269e+05, 2.153570085758006e-01, -6.362787924035419e-04, -4.004560509596989e-04
9779, 3.109480091120000e-01, -1.059579236820000e-03, 7.074549835539084e+05, 2.547332071804473e-01, -3.135632054775554e-04, -1.163206010733941e-04
9781, 3.117681576550000e-01, -7.994838204210000e-04, 7.087651037546033e+05, 2.596806714437540e-01, 1.588181757136762e-04, 2.469457263735045e-05
9783, 3.126276403690000e-01, -7.984140654310000e-04, 7.034075984034260e+05, 2.394488894657606e-01, 2.952613427471408e-04, -1.104583003321139e-05
9787, 3.134889760550000e-01, -8.638602382330000e-04, 7.017163658421183e+05, 2.330622139121950e-01, 3.417560370995430e-04, -2.522983257026866e-05
9789, 3.143517186010000e-01, -9.256925928290000e-04, 6.995486758015264e+05, 2.248762711230786e-01, 4.017235543051622e-04, -2.827844977346308e-05
9795, 3.152156760910000e-01, -9.854075055479999e-04, 6.975908604768271e+05, 2.174828874106786e-01, 4.349720079918059e-04, -2.959999370634986e-05
9801, 3.160807896700000e-01, -1.043356469630000e-03, 6.959013172105181e+05, 2.111025912157639e-01, 4.533540970583352e-04, -2.833568644029269e-05
9813, 3.169473900520000e-01, -1.093643659410000e-03, 6.943236746230914e+05, 2.051448704528718e-01, 4.620033185831087e-04, -2.626427959696638e-05
9823, 3.178150881410000e-01, -1.141949051360000e-03, 6.928515952133982e+05, 1.995857925389953e-01, 4.684467770561659e-04, -2.524285755306280e-05
9928, 3.186839010050000e-01, -1.187217787300000e-03, 6.916105470702214e+05, 1.948991681100660e-01, 4.743783941607442e-04, -2.153829713351703e-05
9942, 3.195541625910000e-01, -1.220908596530000e-03, 6.904651354958424e+05, 1.905737002422994e-01, 4.771085269962205e-04, -1.734904519480074e-05
9958, 3.204254771740000e-01, -1.250546531090000e-03, 6.893214771873241e+05, 1.862548533091499e-01, 4.814842913022883e-04, -1.409082518020954e-05
9974, 3.212978991460000e-01, -1.271939725480000e-03, 6.883401886288523e+05, 1.825491703707019e-01, 4.781717177466259e-04, -1.165831483643988e-05
9977, 3.221711741320000e-01, -1.293108405810000e-03, 6.874667180798872e+05, 1.792506453011982e-01, 4.728083461504801e-04, -1.140289188821644e-05
9979, 3.230452686200000e-01, -1.314081674460000e-03, 6.869880579349461e+05, 1.774430600429074e-01, 4.533428551359929e-04, -9.279005023821549e-06
9982, 3.239202722220000e-01, -1.328908881720000e-03, 6.867716499076315e+05, 1.766258289362774e-01, 4.453408515498729e-04, -4.459562305752249e-06
9984, 3.247961488740000e-01, -1.331614670940000e-03, 6.866135151839299e+05, 1.760286578569473e-01, 4.372121674357336e-04, 3.176847556155551e-06
10589, 3.256726136050000e-01, -1.316176112930000e-03, 6.864682270255330e+05, 1.754799998245245e-01, 4.376094659886878e-04, 1.375704711179245e-05
